Name,Team,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,WAR,NameASCII,PlayerId,MLBAMID
"Jonathan Bowlan","- - -",41.83376391146196,,,,,40.47863054547991,41.27373658900724,44.00751517035744,,,39.28112283044932,,,41.499879843681946,39.245513916015625,44.00751517035744,,0.1647289194172447,"Jonathan Bowlan",24607,680742
"Tyler Thornburg","- - -",45.88620718998307,,,,,,52.48698568344116,48.874542236328125,,,44.72401504516601,,,52.48698568344116,,48.874542236328125,,0.16284388831316002,"Tyler Thornburg",10688,592804
"Cade Gibson","MIA",36.341884569688276,,,,,34.142511772898445,30.16229388884854,39.079703366314924,,,34.01853185500542,,,32.263954162597656,28.852355251573538,39.079703366314924,,0.160753264596914,"Cade Gibson",31815,806188
"Deolis Guerra","- - -",41.48386531313434,,,,,43.00313983120761,42.605793654553,42.33706533497777,,,42.01456006040278,,,42.605793654553,,42.33706533497777,,0.15873691348263835,"Deolis Guerra",8410,500610
"Angel Perdomo","- - -",37.23252861488593,,,,,,38.83096847945838,,,,33.815762418859144,,,38.83096847945838,,,,0.1560698785908829,"Angel Perdomo",17759,622780
"Alan Busenitz","CIN",42.83162841796875,,45.624165468437724,,,33.855926513671875,35.21808369954427,43.88583232334682,,,37.84844568040636,,,,35.21808369954427,43.88583232334682,,0.1555568454431939,"Alan Busenitz",15239,641427
"Chi Chi González","- - -",34.0342231362553,,30.385095321123874,,,32.43747181935353,36.71194009427671,35.703424766882144,,,33.4141835679103,,,36.71194009427671,,35.703424766882144,,0.15454388350517678,"Chi Chi Gonzalez",14663,592346
"Mason Barnett","ATH",54.690677301670476,,,,,,56.52546637398856,64.85595445229974,,,50.70678456624349,,,59.92875017438616,56.03928328533562,64.85595445229974,,0.15403145622291425,"Mason Barnett",31741,686930
"Gabe Klobosits","WSN",53.64017295837402,,,45.33009406847832,,,48.30845303005643,,,,,,,48.30845303005643,,,,0.15114566404641208,"Gabe Klobosits",19881,656620
"Grant Dayton","ATL",36.77155174305236,,,,,38.100757360458374,50.484901428222656,36.599060644371235,,,39.23451232910156,,,50.484901428222656,,36.599060644371235,,0.15045604245932762,"Grant Dayton",11203,594795
"Connor Phillips","CIN",43.70818413363976,,,,,,36.572148901517274,49.440044755202074,,,35.85529486338297,,,,36.572148901517274,49.440044755202074,,0.15023959803506196,"Connor Phillips",27649,683175
"Wyatt Mills","- - -",-1.0027294979645656,,,,,-5.640233943700791,-12.675074007678296,,,,,,,-12.853048163012984,-8.029948425292968,,,0.14724072287944615,"Wyatt Mills",20010,670090
"Troy Melton","DET",35.483413927482836,,35.4116704161738,34.96297390056106,,36.272305452370944,37.89765583385121,44.51322642735072,,,,,,37.89765583385121,,44.51322642735072,,0.1462635008752809,"Troy Melton",31807,675512
"Brandon Eisert","- - -",32.228388977050784,,,,,32.084913110733034,33.574451773507256,,,,29.973568758173805,,,33.68240293909292,7.234365463256836,,,0.14540545704975633,"Brandon Eisert",27668,685126
"Joey Estes","OAK",36.867859285967526,,36.053520747593474,,,37.9852294456668,37.52604993102159,,,,40.210438644184784,,,39.211756235145664,36.25699260824121,,,0.14374305008807453,"Joey Estes",26257,683155
"Tyler Webb","STL",58.51960847112868,,,,,61.21243785136455,,56.33745748346502,,,61.16940489738218,,,,,56.33745748346502,,0.14278868894972171,"Tyler Webb",14974,643778
"Tommy Kahnle","- - -",43.1407116722902,,,,,37.04348657645431,38.438468277454376,,,,31.88310130422063,,,38.438468277454376,,,,0.14252974503175014,"Tommy Kahnle",11384,592454
"Ray Kerr","- - -",31.913978622181602,,27.736695861816408,30.290130390840417,,25.40932623545329,26.91359908492477,31.892162425965452,,,32.36558166503906,,,26.91359908492477,,31.892162425965452,,0.1424335465355428,"Ray Kerr",23809,678061
